goos: linux
goarch: amd64
pkg: github.com/koykov/dyntpl
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkTpl/loopCountBreak-8      	  415078	      3990 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountBreak-8      	  352564	      3078 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountBreak-8      	  416637	      2823 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountBreak-8      	  428563	      2814 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountBreak-8      	  426836	      2843 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountBreak-8      	  439473	      2786 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountBreak-8      	  400785	      3118 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountBreak-8      	  360508	      2952 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountBreak-8      	  414470	      2802 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  403531	      3025 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  385867	      3247 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  383888	      3074 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  399517	      4116 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  341136	      3512 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  382125	      3026 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  401500	      3033 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  382071	      2996 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  391868	      3068 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  402474	      3039 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountContinue-8   	  290145	      4149 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountContinue-8   	  300470	      4268 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountContinue-8   	  303204	      3977 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountContinue-8   	  298881	      3943 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountContinue-8   	  310406	      4881 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountContinue-8   	  272226	      4392 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountContinue-8   	  283898	      4319 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountContinue-8   	  309831	      4274 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountContinue-8   	  253606	      3992 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountContinue-8   	  312152	      3933 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountCtx-8        	  424576	      2825 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountCtx-8        	  433905	      2968 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountCtx-8        	  396913	      3007 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountCtx-8        	  417109	      3149 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountCtx-8        	  416030	      2904 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountCtx-8        	  419972	      3093 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountCtx-8        	  387184	      2987 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountCtx-8        	  394639	      3148 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountCtx-8        	  388633	      2937 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountCtx-8        	  408090	      2822 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountLazybreak-8  	  616120	      1998 ns/op	      48 B/op	       3 allocs/op
BenchmarkTpl/loopCountLazybreak-8  	  636344	      1961 ns/op	      48 B/op	       3 allocs/op
BenchmarkTpl/loopCountLazybreak-8  	  597099	      2031 ns/op	      48 B/op	       3 allocs/op
BenchmarkTpl/loopCountLazybreak-8  	  575386	      2157 ns/op	      48 B/op	       3 allocs/op
BenchmarkTpl/loopCountLazybreak-8  	  573283	      2291 ns/op	      48 B/op	       3 allocs/op
BenchmarkTpl/loopCountLazybreak-8  	  540018	      2077 ns/op	      48 B/op	       3 allocs/op
BenchmarkTpl/loopCountLazybreak-8  	  591771	      2145 ns/op	      48 B/op	       3 allocs/op
BenchmarkTpl/loopCountLazybreak-8  	  516490	      2050 ns/op	      48 B/op	       3 allocs/op
BenchmarkTpl/loopCountLazybreak-8  	  581596	      2076 ns/op	      48 B/op	       3 allocs/op
BenchmarkTpl/loopCountLazybreak-8  	  577611	      2078 ns/op	      48 B/op	       3 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  385508	      3060 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  398120	      3235 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  399489	      3028 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  400908	      3006 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  397150	      3009 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  383018	      3234 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  375948	      3111 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  388323	      3057 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  340821	      4198 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  357006	      3106 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountStatic-8     	  469222	      2570 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountStatic-8     	  475698	      2676 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountStatic-8     	  416407	      2709 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountStatic-8     	  458920	      2596 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountStatic-8     	  456458	      2785 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountStatic-8     	  457544	      2638 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountStatic-8     	  481897	      2561 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountStatic-8     	  475718	      2609 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountStatic-8     	  434518	      2791 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountStatic-8     	  448918	      2619 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopRange-8           	  694189	      1987 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRange-8           	  692637	      1832 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRange-8           	  656455	      1731 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRange-8           	  701151	      1690 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRange-8           	  719346	      1785 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRange-8           	  651727	      1741 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRange-8           	  718659	      1669 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRange-8           	  695574	      1789 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRange-8           	  701512	      1668 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRange-8           	  720382	      1706 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeLazybreakN-8 	  643470	      1916 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeLazybreakN-8 	  587205	      2018 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeLazybreakN-8 	  632737	      2372 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeLazybreakN-8 	  585522	      2077 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeLazybreakN-8 	  591927	      1913 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeLazybreakN-8 	  645079	      1896 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeLazybreakN-8 	  586603	      1912 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeLazybreakN-8 	  626966	      1995 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeLazybreakN-8 	  587443	      1923 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeLazybreakN-8 	  639538	      1900 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 4435598	       290.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 4345004	       269.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 4331094	       269.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 4289869	       378.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 3553729	       286.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 3776838	       280.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 4361311	       274.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 4404114	       270.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 4499907	       352.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 4247734	       278.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/raw-8                 	16939279	        73.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/raw-8                 	15575041	        70.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/raw-8                 	16420597	        69.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/raw-8                 	17370583	        87.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/raw-8                 	16267566	        69.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/raw-8                 	17580681	        75.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/raw-8                 	16820091	        70.00 ns/op	       0 B/op	       0 allocs/op
