goos: linux
goarch: amd64
pkg: github.com/koykov/dyntpl
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkTpl/includeHost-8         	 5498896	       215.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 5510876	       230.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 5550708	       216.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 5808422	       260.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 4505960	       222.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 2698168	       433.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 2812381	       460.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 2685332	       427.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 2756749	       560.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 2298589	       451.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 2625560	       475.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 2682969	       460.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 2630794	       435.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 2781451	       466.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 2728875	       430.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCount-8           	  394977	      3068 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCount-8           	  408994	      3288 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCount-8           	  360498	      3033 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCount-8           	  339308	      3501 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCount-8           	  337707	      3395 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCount-8           	  349347	      3241 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCount-8           	  381729	      3037 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCount-8           	  404128	      3249 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCount-8           	  384892	      3056 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCount-8           	  391384	      3011 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountBreak-8      	  370413	      3346 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountBreak-8      	  375358	      3123 ns/op	       0 B/op	       0 allocs/op
